,player,playerid,subtype,Shots Made,Total Shots,FG%,Average FG%,FG% Difference
112,A. Davis,203076,Running Finger Roll Layup Shot,2.0,4.0,50.0,76.7796157826837,-26.779615782683706
113,A. Davis,203076,Running Jump Shot,0.0,3.0,0.0,35.632052842171824,-35.632052842171824
114,A. Davis,203076,Running Layup Shot,10.0,14.0,71.42857142857143,59.5547097295744,11.873861698997032
115,A. Davis,203076,Running Pull-Up Jump Shot,1.0,3.0,33.33333333333333,36.13965874933622,-2.806325416002892
116,A. Davis,203076,Step Back Jump shot,19.0,45.0,42.22222222222222,35.079155343934865,7.143066878287357
117,A. Davis,203076,Tip Dunk Shot,20.0,25.0,80.0,84.33346026647462,-4.333460266474617
118,A. Davis,203076,Tip Layup Shot,22.0,47.0,46.808510638297875,48.863007269564854,-2.0544966312669786
119,A. Davis,203076,Turnaround Bank shot,1.0,1.0,100.0,58.83160173160173,41.16839826839827
120,A. Davis,203076,Turnaround Fadeaway shot,34.0,81.0,41.9753086419753,34.199880691471094,7.775427950504209
121,A. Davis,203076,Turnaround Hook Shot,27.0,53.0,50.943396226415096,43.842343892424,7.101052333991099
122,A. Davis,203076,Turnaround Jump Shot,17.0,42.0,40.476190476190474,39.10629512709983,1.3698953490906476
123,A. Dosunmu,1630245,Cutting Finger Roll Layup Shot,4.0,4.0,100.0,79.81783739136681,20.182162608633192
124,A. Dosunmu,1630245,Cutting Layup Shot,12.0,16.0,75.0,70.33553076619971,4.66446923380029
125,A. Dosunmu,1630245,Driving Bank Hook Shot,0.0,1.0,0.0,51.30692267648789,-51.30692267648789
126,A. Dosunmu,1630245,Driving Dunk Shot,4.0,5.0,80.0,78.87124625983606,1.128753740163944
127,A. Dosunmu,1630245,Driving Finger Roll Layup Shot,20.0,25.0,80.0,62.785599786476254,17.214400213523746
128,A. Dosunmu,1630245,Driving Floating Bank Jump Shot,1.0,7.0,14.285714285714285,49.67574935067332,-35.39003506495904
129,A. Dosunmu,1630245,Driving Floating Jump Shot,20.0,33.0,60.60606060606061,38.248881327329954,22.357179278730655
130,A. Dosunmu,1630245,Driving Layup Shot,57.0,97.0,58.76288659793815,45.01602024096154,13.74686635697661
131,A. Dosunmu,1630245,Driving Reverse Layup Shot,7.0,11.0,63.63636363636363,55.503298940477,8.133064695886631
132,A. Dosunmu,1630245,Finger Roll Layup Shot,1.0,1.0,100.0,61.999433106575964,38.000566893424036
133,A. Dosunmu,1630245,Floating Jump shot,1.0,9.0,11.11111111111111,40.775771321052716,-29.664660209941605
134,A. Dosunmu,1630245,Hook Shot,0.0,1.0,0.0,45.452274267381924,-45.452274267381924
135,A. Dosunmu,1630245,Jump Bank Shot,0.0,1.0,0.0,50.98262359275575,-50.98262359275575
136,A. Dosunmu,1630245,Jump Shot,52.0,174.0,29.88505747126437,33.64356279966131,-3.7585053283969394
137,A. Dosunmu,1630245,Layup Shot,8.0,17.0,47.05882352941176,50.050333235610644,-2.991509706198883
138,A. Dosunmu,1630245,Pullup Jump shot,21.0,53.0,39.62264150943396,36.23884787401714,3.383793635416822
139,A. Dosunmu,1630245,Putback Dunk Shot,1.0,1.0,100.0,91.18644081655869,8.813559183441313
